,Country,measurement,units,Year
1483,Kuwait,composition_food_organic_waste_percent,%,2014
1484,Ireland,composition_food_organic_waste_percent,%,2012
1485,Cyprus,composition_food_organic_waste_percent,%,2014
1486,China,composition_food_organic_waste_percent,%,2014
1487,Peru,composition_food_organic_waste_percent,%,2013
1488,Zimbabwe,composition_food_organic_waste_percent,%,2015
1489,"Hong Kong SAR, China",composition_food_organic_waste_percent,%,2016
1490,Cuba,composition_food_organic_waste_percent,%,2005
1491,Ghana,composition_food_organic_waste_percent,%,2015
1492,Marshall Islands,composition_food_organic_waste_percent,%,2012
1493,Panama,composition_food_organic_waste_percent,%,2002
1494,"Micronesia, Fed. Sts.",composition_food_organic_waste_percent,%,2011
1495,Estonia,composition_food_organic_waste_percent,%,2013
1496,Algeria,composition_food_organic_waste_percent,%,2016
1497,Uganda,composition_food_organic_waste_percent,%,2006
1498,Azerbaijan,composition_food_organic_waste_percent,%,2015
1499,Brazil,composition_food_organic_waste_percent,%,2010
1500,Latvia,composition_food_organic_waste_percent,%,2011
1501,Kazakhstan,composition_food_organic_waste_percent,%,2015
1502,Mauritania,composition_food_organic_waste_percent,%,2009
1503,Japan,composition_food_organic_waste_percent,%,2015
1504,Armenia,composition_food_organic_waste_percent,%,2015
1505,Singapore,composition_food_organic_waste_percent,%,2017
1506,Tunisia,composition_food_organic_waste_percent,%,2014
1507,Oman,composition_food_organic_waste_percent,%,2013
1508,West Bank and Gaza,composition_food_organic_waste_percent,%,2012
1509,Cameroon,composition_food_organic_waste_percent,%,2008
1510,,composition_food_organic_waste_percent,%,2002
1511,San Marino,composition_food_organic_waste_percent,%,2016
1512,Fiji,composition_food_organic_waste_percent,%,2011
1513,Saudi Arabia,composition_food_organic_waste_percent,%,2015
1514,Turkey,composition_food_organic_waste_percent,%,1993
1515,Uzbekistan,composition_food_organic_waste_percent,%,2006
1516,Bolivia,composition_food_organic_waste_percent,%,2010
1517,Qatar,composition_food_organic_waste_percent,%,2016
1518,Jamaica,composition_food_organic_waste_percent,%,2013
1519,United Arab Emirates,composition_food_organic_waste_percent,%,2011
1520,Comoros,composition_food_organic_waste_percent,%,2003
1521,Tuvalu,composition_food_organic_waste_percent,%,2016
1522,Serbia,composition_food_organic_waste_percent,%,2012
1523,Angola,composition_food_organic_waste_percent,%,2008
1524,Kenya,composition_food_organic_waste_percent,%,1998
1525,Benin,composition_food_organic_waste_percent,%,2002
1526,Chad,composition_food_organic_waste_percent,%,2006
1527,El Salvador,composition_food_organic_waste_percent,%,2011
1528,Poland,composition_food_organic_waste_percent,%,2010
1529,"Korea, Rep.",composition_food_organic_waste_percent,%,2013
1530,Grenada,composition_food_organic_waste_percent,%,2009
1531,Romania,composition_food_organic_waste_percent,%,2014
1532,Thailand,composition_food_organic_waste_percent,%,2012
1533,Mali,composition_food_organic_waste_percent,%,1995
1534,Tonga,composition_food_organic_waste_percent,%,2012
1535,New Caledonia,composition_food_organic_waste_percent,%,2016
1536,Iraq,composition_food_organic_waste_percent,%,2009
1537,Samoa,composition_food_organic_waste_percent,%,2011
1538,Greenland,composition_food_organic_waste_percent,%,2011
1539,Palau,composition_food_organic_waste_percent,%,2014
1540,Solomon Islands,composition_food_organic_waste_percent,%,2011
1541,Ethiopia,composition_food_organic_waste_percent,%,1995
1542,St. Lucia,composition_food_organic_waste_percent,%,2008
1543,Netherlands,composition_food_organic_waste_percent,%,2013
1544,Guam,composition_food_organic_waste_percent,%,2012
1545,Lao PDR,composition_food_organic_waste_percent,%,2015
1546,Bahrain,composition_food_organic_waste_percent,%,2016
1547,Hungary,composition_food_organic_waste_percent,%,2015
1548,Dominican Republic,composition_food_organic_waste_percent,%,2013
1549,Russian Federation,composition_food_organic_waste_percent,%,2013
1550,Ecuador,composition_food_organic_waste_percent,%,2014
1551,Greece,composition_food_organic_waste_percent,%,2006
1552,Montenegro,composition_food_organic_waste_percent,%,2013
1553,Czech Republic,composition_food_organic_waste_percent,%,2012
1554,Niger,composition_food_organic_waste_percent,%,2005
1555,Uruguay,composition_food_organic_waste_percent,%,2003
1556,Bulgaria,composition_food_organic_waste_percent,%,2014
1557,Barbados,composition_food_organic_waste_percent,%,2013
1558,Lithuania,composition_food_organic_waste_percent,%,2010
1559,Finland,composition_food_organic_waste_percent,%,2010
1560,Suriname,composition_food_organic_waste_percent,%,2002
1561,Puerto Rico,composition_food_organic_waste_percent,%,2003
1562,Mongolia,composition_food_organic_waste_percent,%,2016
1563,Guyana,composition_food_organic_waste_percent,%,2010
1564,Turkmenistan,composition_food_organic_waste_percent,%,2000
1565,Italy,composition_food_organic_waste_percent,%,2013
1566,New Zealand,composition_food_organic_waste_percent,%,2008
1567,Sudan,composition_food_organic_waste_percent,%,2011
1568,French Polynesia,composition_food_organic_waste_percent,%,2012
1569,Iceland,composition_food_organic_waste_percent,%,2013
1570,Vanuatu,composition_food_organic_waste_percent,%,2011
1571,Canada,composition_food_organic_waste_percent,%,2004
1572,Georgia,composition_food_organic_waste_percent,%,2007
1573,Burundi,composition_food_organic_waste_percent,%,2005
1574,Moldova,composition_food_organic_waste_percent,%,2014
1575,Libya,composition_food_organic_waste_percent,%,2010
1576,Switzerland,composition_food_organic_waste_percent,%,2002
1577,Seychelles,composition_food_organic_waste_percent,%,2003
1578,Liechtenstein,composition_food_organic_waste_percent,%,2012
1579,Nauru,composition_food_organic_waste_percent,%,2016
1580,Portugal,composition_food_organic_waste_percent,%,2015
1581,Turks and Caicos Islands,composition_food_organic_waste_percent,%,2004
1582,Belize,composition_food_organic_waste_percent,%,2011
1583,Germany,composition_food_organic_waste_percent,%,2006
1584,Chile,composition_food_organic_waste_percent,%,2009
1585,"Egypt, Arab Rep.",composition_food_organic_waste_percent,%,2013
1586,Cambodia,composition_food_organic_waste_percent,%,2010
1587,Botswana,composition_food_organic_waste_percent,%,2013
1588,Dominica,composition_food_organic_waste_percent,%,2002
1589,Timor-Leste,composition_food_organic_waste_percent,%,2016
1590,Morocco,composition_food_organic_waste_percent,%,2014
1591,Jordan,composition_food_organic_waste_percent,%,2014
1592,Argentina,composition_food_organic_waste_percent,%,2015
1593,Pakistan,composition_food_organic_waste_percent,%,2017
1594,Andorra,composition_food_organic_waste_percent,%,2005
1595,Slovak Republic,composition_food_organic_waste_percent,%,2013
1596,St. Vincent and the Grenadines,composition_food_organic_waste_percent,%,2002
1597,Togo,composition_food_organic_waste_percent,%,2012
1598,Norway,composition_food_organic_waste_percent,%,2010
1599,British Virgin Islands,composition_food_organic_waste_percent,%,2000
1600,Mexico,composition_food_organic_waste_percent,%,2012
1601,Lebanon,composition_food_organic_waste_percent,%,2014
1602,Guinea,composition_food_organic_waste_percent,%,2007
1603,France,composition_food_organic_waste_percent,%,2002
1604,Indonesia,composition_food_organic_waste_percent,%,2012
1605,Ukraine,composition_food_organic_waste_percent,%,2011
1606,"Macao SAR, China",composition_food_organic_waste_percent,%,2014
1607,Gibraltar,composition_food_organic_waste_percent,%,2006
1608,Kosovo,composition_food_organic_waste_percent,%,2012
1609,Cayman Islands,composition_food_organic_waste_percent,%,2003
1610,Costa Rica,composition_food_organic_waste_percent,%,2014
1611,"Bahamas, The",composition_food_organic_waste_percent,%,2015
1612,Syrian Arab Republic,composition_food_organic_waste_percent,%,2010
1613,Antigua and Barbuda,composition_food_organic_waste_percent,%,2015
1614,Haiti,composition_food_organic_waste_percent,%,2016
1615,Vietnam,composition_food_organic_waste_percent,%,2010
1616,Malaysia,composition_food_organic_waste_percent,%,2014
1617,Papua New Guinea,composition_food_organic_waste_percent,%,2014
1618,Northern Mariana Islands,composition_food_organic_waste_percent,%,2016
1619,Kiribati,composition_food_organic_waste_percent,%,2016
1620,Brunei Darussalam,composition_food_organic_waste_percent,%,2005
1621,Philippines,composition_food_organic_waste_percent,%,2013
1622,Panama,composition_glass_percent,%,2002
1623,Mexico,composition_glass_percent,%,2012
1624,"Iran, Islamic Rep.",composition_glass_percent,%,2007
1625,Virgin Islands (U.S.),composition_glass_percent,%,2015
1626,Saudi Arabia,composition_glass_percent,%,2015
1627,Turkmenistan,composition_glass_percent,%,2000
1628,Montenegro,composition_glass_percent,%,2013
1629,"Macao SAR, China",composition_glass_percent,%,2014
1630,West Bank and Gaza,composition_glass_percent,%,2012
1631,Turkey,composition_glass_percent,%,1993
1632,Mauritania,composition_glass_percent,%,2009
1633,Burundi,composition_glass_percent,%,2005
1634,Barbados,composition_glass_percent,%,2013
1635,St. Vincent and the Grenadines,composition_glass_percent,%,2002
1636,Czech Republic,composition_glass_percent,%,2012
1637,Hungary,composition_glass_percent,%,2015
1638,Cayman Islands,composition_glass_percent,%,2003
1639,United Kingdom,composition_glass_percent,%,2011
1640,Guinea,composition_glass_percent,%,2007
1641,Ecuador,composition_glass_percent,%,2014
1642,Philippines,composition_glass_percent,%,2013
1643,Qatar,composition_glass_percent,%,2016
1644,Norway,composition_glass_percent,%,2010
1645,Timor-Leste,composition_glass_percent,%,2014
1646,Brunei Darussalam,composition_glass_percent,%,2005
1647,St. Lucia,composition_glass_percent,%,2008
1648,New Zealand,composition_glass_percent,%,2008
1649,,composition_glass_percent,%,2002
1650,Serbia,composition_glass_percent,%,2012
1651,Bhutan,composition_glass_percent,%,2012
1652,New Caledonia,composition_glass_percent,%,2016
1653,"Gambia, The",composition_glass_percent,%,2001
1654,Estonia,composition_glass_percent,%,2013
1655,Bolivia,composition_glass_percent,%,2010
1656,South Africa,composition_glass_percent,%,2006
1657,Indonesia,composition_glass_percent,%,2012
1658,Ghana,composition_glass_percent,%,2015
1659,Kosovo,composition_glass_percent,%,2012
1660,Denmark,composition_glass_percent,%,2015
1661,Syrian Arab Republic,composition_glass_percent,%,2010
1662,Mali,composition_glass_percent,%,1995
1663,American Samoa,composition_glass_percent,%,2011
1664,Netherlands,composition_glass_percent,%,2013
1665,Northern Mariana Islands,composition_glass_percent,%,2016
1666,Fiji,composition_glass_percent,%,2011
1667,Guam,composition_glass_percent,%,2012
1668,Burkina Faso,composition_glass_percent,%,2016
1669,Switzerland,composition_glass_percent,%,2002
1670,Pakistan,composition_glass_percent,%,2017
1671,St. Kitts and Nevis,composition_glass_percent,%,2002
1672,Albania,composition_glass_percent,%,2015
1673,Finland,composition_glass_percent,%,2010
1674,Bermuda,composition_glass_percent,%,2010
1675,Ireland,composition_glass_percent,%,2012
1676,Sri Lanka,composition_glass_percent,%,2015
1677,Italy,composition_glass_percent,%,2013
1678,Spain,composition_glass_percent,%,2012
1679,Trinidad and Tobago,composition_glass_percent,%,2010
1680,British Virgin Islands,composition_glass_percent,%,2000
1681,Chile,composition_glass_percent,%,2009
1682,Croatia,composition_glass_percent,%,2013
1683,Malta,composition_glass_percent,%,2012
1684,Colombia,composition_glass_percent,%,2011
1685,Suriname,composition_glass_percent,%,2002
1686,Oman,composition_glass_percent,%,2013
1687,Belgium,composition_glass_percent,%,2014
1688,Malaysia,composition_glass_percent,%,2014
1689,Comoros,composition_glass_percent,%,2003
1690,Latvia,composition_glass_percent,%,2011
1691,Palau,composition_glass_percent,%,2014
1692,Ukraine,composition_glass_percent,%,2011
1693,Uzbekistan,composition_glass_percent,%,2006
1694,"Korea, Rep.",composition_glass_percent,%,2013
1695,Sweden,composition_glass_percent,%,2014
1696,Tonga,composition_glass_percent,%,2012
1697,Greenland,composition_glass_percent,%,2011
1698,Kenya,composition_glass_percent,%,1998
1699,Cambodia,composition_glass_percent,%,2010
1700,Cyprus,composition_glass_percent,%,2014
1701,Jamaica,composition_glass_percent,%,2013
1702,Sint Maarten (Dutch part),composition_glass_percent,%,2015
1703,Honduras,composition_glass_percent,%,2016
1704,Canada,composition_glass_percent,%,2004
1705,Bangladesh,composition_glass_percent,%,2012
1706,Brazil,composition_glass_percent,%,2010
1707,Germany,composition_glass_percent,%,2006
1708,Puerto Rico,composition_glass_percent,%,2003
1709,Senegal,composition_glass_percent,%,2016
1710,"Macedonia, FYR",composition_glass_percent,%,2015
1711,Uganda,composition_glass_percent,%,2006
1712,Grenada,composition_glass_percent,%,2009
1713,Austria,composition_glass_percent,%,2013
1714,Armenia,composition_glass_percent,%,2015
1715,Ethiopia,composition_glass_percent,%,1995
1716,Togo,composition_glass_percent,%,2012
1717,Poland,composition_glass_percent,%,2010
1718,Costa Rica,composition_glass_percent,%,2014
1719,Nepal,composition_glass_percent,%,2017
1720,Cuba,composition_glass_percent,%,2005
1721,Algeria,composition_glass_percent,%,2016
1722,Kazakhstan,composition_glass_percent,%,2015
1723,Singapore,composition_glass_percent,%,2017
1724,Mauritius,composition_glass_percent,%,2016
1725,Bahrain,composition_glass_percent,%,2016
1726,Angola,composition_glass_percent,%,2008
1727,Vanuatu,composition_glass_percent,%,2011
1728,El Salvador,composition_glass_percent,%,2011
1729,French Polynesia,composition_glass_percent,%,2012
1730,United States,composition_glass_percent,%,2014
1731,China,composition_glass_percent,%,2014
1732,Tunisia,composition_glass_percent,%,2014
1733,"Yemen, Rep.",composition_glass_percent,%,2016
1734,Seychelles,composition_glass_percent,%,2003
1735,Georgia,composition_glass_percent,%,2007
1736,Turks and Caicos Islands,composition_glass_percent,%,2004
1737,Gibraltar,composition_glass_percent,%,2006
1738,Benin,composition_glass_percent,%,2002
1739,Israel,composition_glass_percent,%,2012
1740,Peru,composition_glass_percent,%,2013
1741,Azerbaijan,composition_glass_percent,%,2015
1742,Solomon Islands,composition_glass_percent,%,2011
1743,Nigeria,composition_glass_percent,%,2000
1744,Moldova,composition_glass_percent,%,2014
1745,Romania,composition_glass_percent,%,2014
1746,Australia,composition_glass_percent,%,2011
1747,Bulgaria,composition_glass_percent,%,2014
1748,Morocco,composition_glass_percent,%,2014
1749,Lebanon,composition_glass_percent,%,2014
1750,Lao PDR,composition_glass_percent,%,2015
1751,Dominica,composition_glass_percent,%,2002
1752,Slovak Republic,composition_glass_percent,%,2013
1753,Luxembourg,composition_glass_percent,%,2014
1754,Libya,composition_glass_percent,%,2010
1755,Russian Federation,composition_glass_percent,%,2013
1756,France,composition_glass_percent,%,2002
1757,Kiribati,composition_glass_percent,%,2016
1758,"Micronesia, Fed. Sts.",composition_glass_percent,%,2011
1759,Andorra,composition_glass_percent,%,2005
1760,Tuvalu,composition_glass_percent,%,2016
1761,Haiti,composition_glass_percent,%,2016
1762,Guyana,composition_glass_percent,%,2010
1763,Marshall Islands,composition_glass_percent,%,2012
1764,"Egypt, Arab Rep.",composition_glass_percent,%,2013
1765,Kuwait,composition_glass_percent,%,2014
1766,Japan,composition_glass_percent,%,2015
1767,United Arab Emirates,composition_glass_percent,%,2011
1768,Liechtenstein,composition_glass_percent,%,2012
1769,Samoa,composition_glass_percent,%,2011
1770,Belize,composition_glass_percent,%,2011
1771,Jordan,composition_glass_percent,%,2014
1772,Chad,composition_glass_percent,%,2006
1773,Guatemala,composition_glass_percent,%,2013
1774,Belarus,composition_glass_percent,%,2016
1775,Iraq,composition_glass_percent,%,2009
1776,Argentina,composition_glass_percent,%,2015
1777,Greece,composition_glass_percent,%,2006
1778,Cameroon,composition_glass_percent,%,2008
1779,Monaco,composition_glass_percent,%,2012
1780,Uruguay,composition_glass_percent,%,2003
1781,Sudan,composition_glass_percent,%,2011
1782,Portugal,composition_glass_percent,%,2015
1783,Antigua and Barbuda,composition_glass_percent,%,2015
1784,Lithuania,composition_glass_percent,%,2010
1785,"Hong Kong SAR, China",composition_glass_percent,%,2016
1786,"Bahamas, The",composition_glass_percent,%,2015
1787,Dominican Republic,composition_glass_percent,%,2013
1788,Zimbabwe,composition_glass_percent,%,2015
1789,Thailand,composition_glass_percent,%,2012
1790,San Marino,composition_glass_percent,%,2016
1791,Nauru,composition_glass_percent,%,2016
1792,Vietnam,composition_glass_percent,%,2010
1793,Czech Republic,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1794,Ecuador,special_waste_hazardous_waste_tons_year,tonnes/year,2008
1795,Barbados,special_waste_hazardous_waste_tons_year,tonnes/year,2011
1796,Jordan,special_waste_hazardous_waste_tons_year,tonnes/year,2011
1797,Albania,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1798,Puerto Rico,special_waste_hazardous_waste_tons_year,tonnes/year,2007
1799,Cabo Verde,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1800,Singapore,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1801,Algeria,special_waste_hazardous_waste_tons_year,tonnes/year,2011
1802,Kuwait,special_waste_hazardous_waste_tons_year,tonnes/year,2008
1803,Latvia,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1804,Norway,special_waste_hazardous_waste_tons_year,tonnes/year,2016
1805,Iceland,special_waste_hazardous_waste_tons_year,tonnes/year,2013
1806,Colombia,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1807,Malta,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1808,Austria,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1809,Finland,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1810,Chile,special_waste_hazardous_waste_tons_year,tonnes/year,2009
1811,Qatar,special_waste_hazardous_waste_tons_year,tonnes/year,2008
1812,"Egypt, Arab Rep.",special_waste_hazardous_waste_tons_year,tonnes/year,2011
1813,Italy,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1814,Honduras,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1815,Oman,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1816,Maldives,special_waste_hazardous_waste_tons_year,tonnes/year,2017
1817,Jamaica,special_waste_hazardous_waste_tons_year,tonnes/year,2001
1818,"Iran, Islamic Rep.",special_waste_hazardous_waste_tons_year,tonnes/year,2015
1819,Turkey,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1820,Bahrain,special_waste_hazardous_waste_tons_year,tonnes/year,2008
1821,Cameroon,special_waste_hazardous_waste_tons_year,tonnes/year,2009
1822,Syrian Arab Republic,special_waste_hazardous_waste_tons_year,tonnes/year,2008
1823,Philippines,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1824,Nepal,special_waste_hazardous_waste_tons_year,tonnes/year,2007
1825,Estonia,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1826,Guyana,special_waste_hazardous_waste_tons_year,tonnes/year,2007
1827,Saudi Arabia,special_waste_hazardous_waste_tons_year,tonnes/year,2008
1828,Germany,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1829,Nicaragua,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1830,"Macedonia, FYR",special_waste_hazardous_waste_tons_year,tonnes/year,2014
1831,Argentina,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1832,Switzerland,special_waste_hazardous_waste_tons_year,tonnes/year,2000
1833,Japan,special_waste_hazardous_waste_tons_year,tonnes/year,2004
1834,Bosnia and Herzegovina,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1835,Moldova,special_waste_hazardous_waste_tons_year,tonnes/year,2012
1836,Hungary,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1837,Slovak Republic,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1838,Portugal,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1839,Pakistan,special_waste_hazardous_waste_tons_year,tonnes/year,2016
1840,China,special_waste_hazardous_waste_tons_year,tonnes/year,2012
1841,Greece,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1842,"Yemen, Rep.",special_waste_hazardous_waste_tons_year,tonnes/year,2008
1843,Armenia,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1844,"Hong Kong SAR, China",special_waste_hazardous_waste_tons_year,tonnes/year,2009
1845,Madagascar,special_waste_hazardous_waste_tons_year,tonnes/year,2007
1846,France,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1847,United Kingdom,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1848,Israel,special_waste_hazardous_waste_tons_year,tonnes/year,2008
1849,Turkmenistan,special_waste_hazardous_waste_tons_year,tonnes/year,2012
1850,Australia,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1851,Kyrgyz Republic,special_waste_hazardous_waste_tons_year,tonnes/year,2012
1852,Niger,special_waste_hazardous_waste_tons_year,tonnes/year,2005
1853,Lithuania,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1854,Burkina Faso,special_waste_hazardous_waste_tons_year,tonnes/year,2002
1855,Lao PDR,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1856,El Salvador,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1857,Cuba,special_waste_hazardous_waste_tons_year,tonnes/year,2012
1858,Denmark,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1859,Iraq,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1860,Slovenia,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1861,Ukraine,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1862,Guatemala,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1863,Mauritius,special_waste_hazardous_waste_tons_year,tonnes/year,2017
1864,Indonesia,special_waste_hazardous_waste_tons_year,tonnes/year,2010
1865,Andorra,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1866,Sweden,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1867,Cyprus,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1868,Azerbaijan,special_waste_hazardous_waste_tons_year,tonnes/year,2012
1869,Luxembourg,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1870,Croatia,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1871,India,special_waste_hazardous_waste_tons_year,tonnes/year,2016
1872,Togo,special_waste_hazardous_waste_tons_year,tonnes/year,2007
1873,Peru,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1874,Dominica,special_waste_hazardous_waste_tons_year,tonnes/year,2002
1875,"Macao SAR, China",special_waste_hazardous_waste_tons_year,tonnes/year,2014
1876,Kosovo,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1877,West Bank and Gaza,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1878,"Venezuela, RB",special_waste_hazardous_waste_tons_year,tonnes/year,2010
1879,Mexico,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1880,Serbia,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1881,Monaco,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1882,St. Lucia,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1883,Greenland,special_waste_hazardous_waste_tons_year,tonnes/year,2009
1884,Lebanon,special_waste_hazardous_waste_tons_year,tonnes/year,2008
1885,Netherlands,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1886,Belgium,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1887,Poland,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1888,Bolivia,special_waste_hazardous_waste_tons_year,tonnes/year,2010
1889,Tunisia,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1890,Bulgaria,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1891,Spain,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1892,South Africa,special_waste_hazardous_waste_tons_year,tonnes/year,2011
1893,Thailand,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1894,United States,special_waste_hazardous_waste_tons_year,tonnes/year,2011
1895,Belarus,special_waste_hazardous_waste_tons_year,tonnes/year,2010
1896,Romania,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1897,Bermuda,special_waste_hazardous_waste_tons_year,tonnes/year,2012
1898,Ireland,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1899,Morocco,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1900,Russian Federation,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1901,Trinidad and Tobago,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1902,Montenegro,special_waste_hazardous_waste_tons_year,tonnes/year,2012
1903,Zambia,special_waste_hazardous_waste_tons_year,tonnes/year,2005
1904,United Arab Emirates,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1905,Gibraltar,special_waste_hazardous_waste_tons_year,tonnes/year,2012
1906,Vietnam,special_waste_hazardous_waste_tons_year,tonnes/year,2010
1907,Malaysia,special_waste_hazardous_waste_tons_year,tonnes/year,2015
1908,Liechtenstein,special_waste_hazardous_waste_tons_year,tonnes/year,2014
1909,Zimbabwe,special_waste_hazardous_waste_tons_year,tonnes/year,2012
1910,Bangladesh,special_waste_hazardous_waste_tons_year,tonnes/year,2008
1911,Sweden,waste_treatment_incineration_percent,tonnes/year,2015
1912,Malta,waste_treatment_incineration_percent,tonnes/year,2015
1913,Austria,waste_treatment_incineration_percent,tonnes/year,2015
1914,Luxembourg,waste_treatment_incineration_percent,tonnes/year,2015
1915,Qatar,waste_treatment_incineration_percent,tonnes/year,2014
1916,Isle of Man,waste_treatment_incineration_percent,tonnes/year,2011
1917,Japan,waste_treatment_incineration_percent,tonnes/year,2015
1918,British Virgin Islands,waste_treatment_incineration_percent,tonnes/year,2005
1919,Switzerland,waste_treatment_incineration_percent,tonnes/year,2015
1920,Ukraine,waste_treatment_incineration_percent,tonnes/year,2015
1921,"Iran, Islamic Rep.",waste_treatment_incineration_percent,tonnes/year,2017
1922,Andorra,waste_treatment_incineration_percent,tonnes/year,2012
1923,Germany,waste_treatment_incineration_percent,tonnes/year,2015
1924,Greenland,waste_treatment_incineration_percent,tonnes/year,2010
1925,China,waste_treatment_incineration_percent,tonnes/year,2014
1926,Canada,waste_treatment_incineration_percent,tonnes/year,2006
1927,Hungary,waste_treatment_incineration_percent,tonnes/year,2015
1928,Bulgaria,waste_treatment_incineration_percent,tonnes/year,2015
1929,Channel Islands,waste_treatment_incineration_percent,tonnes/year,2016
1930,Bermuda,waste_treatment_incineration_percent,tonnes/year,2012
1931,Iceland,waste_treatment_incineration_percent,tonnes/year,2013
1932,Portugal,waste_treatment_incineration_percent,tonnes/year,2014
1933,Italy,waste_treatment_incineration_percent,tonnes/year,2015
1934,Slovak Republic,waste_treatment_incineration_percent,tonnes/year,2015
1935,Estonia,waste_treatment_incineration_percent,tonnes/year,2015
1936,Denmark,waste_treatment_incineration_percent,tonnes/year,2015
1937,Australia,waste_treatment_incineration_percent,tonnes/year,2015
1938,Monaco,waste_treatment_incineration_percent,tonnes/year,2013
1939,"Korea, Rep.",waste_treatment_incineration_percent,tonnes/year,2014
1940,Singapore,waste_treatment_incineration_percent,tonnes/year,2015
1941,Finland,waste_treatment_incineration_percent,tonnes/year,2015
1942,Maldives,waste_treatment_incineration_percent,tonnes/year,2016
1943,Norway,waste_treatment_incineration_percent,tonnes/year,2015
1944,Belgium,waste_treatment_incineration_percent,tonnes/year,2015
1945,Czech Republic,waste_treatment_incineration_percent,tonnes/year,2015
1946,Netherlands,waste_treatment_incineration_percent,tonnes/year,2015
1947,Slovenia,waste_treatment_incineration_percent,tonnes/year,2015
1948,Lithuania,waste_treatment_incineration_percent,tonnes/year,2015
1949,United Kingdom,waste_treatment_incineration_percent,tonnes/year,2015
1950,France,waste_treatment_incineration_percent,tonnes/year,2015
1951,Chile,waste_treatment_incineration_percent,tonnes/year,2009
1952,Ireland,waste_treatment_incineration_percent,tonnes/year,2012
1953,Spain,waste_treatment_incineration_percent,tonnes/year,2015
1954,Romania,waste_treatment_incineration_percent,tonnes/year,2015
1955,Poland,waste_treatment_incineration_percent,tonnes/year,2015
1956,Thailand,waste_treatment_incineration_percent,tonnes/year,2012
1957,,waste_treatment_incineration_percent,tonnes/year,2002
1958,United States,waste_treatment_incineration_percent,tonnes/year,2014
1959,Ukraine,special_waste_industrial_waste_tons_year,tonnes/year,2015
1960,"Iran, Islamic Rep.",special_waste_industrial_waste_tons_year,tonnes/year,2016
1961,Bhutan,special_waste_industrial_waste_tons_year,tonnes/year,2015
1962,"Egypt, Arab Rep.",special_waste_industrial_waste_tons_year,tonnes/year,2012
